City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
201,San Cristobal,VE,7.7669,-72.225,80.78,86,93,2.93,overcast clouds
202,Fort Nelson,CA,58.8053,-122.7002,44.19,75,57,11.5,shower rain
203,Labuhan,ID,-6.8844,112.2051,77.54,70,78,8.66,broken clouds
204,The Pas,CA,53.8251,-101.2541,64.42,1,42,14.97,clear sky
205,Winnemucca,US,40.973,-117.7357,62.65,1,31,5.75,clear sky
206,Luganville,VU,-15.5333,167.1667,78.76,97,84,13.62,overcast clouds
207,Adrar,MR,20.5022,-10.0711,88.92,99,12,4.47,overcast clouds
208,Coihaique,CL,-45.5752,-72.0662,54.21,75,58,4.61,broken clouds
209,Namibe,AO,-15.1961,12.1522,68.54,71,87,5.82,broken clouds
210,Saint Anthony,US,45.0205,-93.218,71.55,90,61,5.01,overcast clouds
211,Souillac,MU,-20.5167,57.5167,71.98,75,94,6.91,light rain
212,Broome,US,42.2506,-75.833,69.91,90,75,1.01,overcast clouds
213,Vao,NC,-22.6667,167.4833,69.78,3,63,13.06,clear sky
214,Ilulissat,GL,69.2167,-51.1,33.82,40,80,3.44,light intensity shower rain
215,Dabakala,CI,8.3667,-4.4333,74.66,84,94,4.5,light rain
216,Hakkari,TR,37.5833,44.1667,46.54,0,57,4.38,clear sky
217,Luau,AO,-10.7073,22.2247,81.25,98,29,2.35,overcast clouds
218,Nishihara,JP,26.1842,127.7558,82.45,75,89,20.71,broken clouds
219,Pangnirtung,CA,66.1451,-65.7125,30.2,90,100,5.75,fog
220,Namwala,ZM,-15.7504,26.4384,82.71,69,22,4.45,broken clouds
221,Teya,RU,60.3778,92.6267,24.87,100,83,7.34,overcast clouds
222,Hasaki,JP,35.7333,140.8333,66.6,54,73,14.85,broken clouds
223,Bathsheba,BB,13.2167,-59.5167,81.21,75,89,14.97,broken clouds
224,Acari,PE,-15.4311,-74.6158,70.3,57,71,8.88,broken clouds
225,Neuquen,AR,-38.9516,-68.0591,82.29,20,26,6.91,few clouds
226,Upernavik,GL,72.7868,-56.1549,33.08,100,98,12.64,snow
227,Kot Khai,IN,31.1167,77.5333,54.1,0,60,3.2,clear sky
228,Turukhansk,RU,65.8167,87.9833,26.17,100,76,10.47,overcast clouds
229,Touros,BR,-5.1989,-35.4608,83.3,26,76,12.86,scattered clouds
230,Hovd,MN,48.0056,91.6419,33.49,29,36,1.72,scattered clouds
231,Parakai,NZ,-36.65,174.4333,62.22,87,69,9.4,overcast clouds
232,Krasnogorskoye,RU,52.2953,86.1979,43.84,100,66,3.4,overcast clouds
233,Katsuura,JP,35.1333,140.3,71.71,77,71,12.95,broken clouds
234,Balikpapan,ID,-1.2675,116.8289,78.55,100,89,7.7,overcast clouds
235,Narsaq,GL,60.9167,-46.05,34.02,26,48,1.59,scattered clouds
236,Barrow,US,71.2906,-156.7887,28.42,90,80,10.36,overcast clouds
237,Vitim,RU,59.4511,112.5578,33.4,100,86,9.91,overcast clouds
238,Mastic Beach,US,40.7668,-72.8521,66.33,90,89,11.01,overcast clouds
239,Sayansk,RU,54.1088,102.1648,33.58,79,77,1.19,broken clouds
240,Copiapo,CL,-27.3667,-70.3333,64.09,2,15,6.24,clear sky
241,Bekhteyevka,RU,50.8072,37.2085,43.7,99,56,6.71,light rain
242,Clyde River,CA,70.4692,-68.5914,37.63,90,75,5.75,overcast clouds
243,Berlevag,NO,70.8578,29.0864,42.75,75,81,11.5,broken clouds
244,Evensk,RU,61.95,159.2333,25.25,99,86,5.64,overcast clouds
245,Porto Murtinho,BR,-21.6989,-57.8825,80.44,42,80,5.73,scattered clouds
246,Ranghulu,CN,46.65,124.8667,42.12,0,61,9.37,clear sky
247,Bluff,NZ,-46.6,168.3333,47.8,100,90,5.1,overcast clouds
248,College,US,64.8569,-147.8028,36.59,90,95,5.75,mist
249,Magadan,RU,59.5667,150.8,29.5,0,61,11.21,clear sky
250,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,90,100,13.42,light intensity shower rain
251,Danielskuil,ZA,-28.1887,23.5395,59.88,6,17,8.34,clear sky
252,Joshimath,IN,30.5667,79.5667,58.78,0,50,3.51,clear sky
253,Sechelt,CA,49.4664,-123.7694,58.75,27,56,9.08,scattered clouds
254,Fallon,US,39.4735,-118.7774,69.93,20,28,0.0,few clouds
255,Harper,LR,4.375,-7.7169,77.95,98,88,10.27,light rain
256,Dingli,MT,35.8614,14.3822,65.8,20,72,11.5,few clouds
257,Poum,NC,-20.2333,164.0167,74.32,13,64,20.13,few clouds
258,Derzhavinsk,KZ,51.1,66.3167,38.39,80,74,8.72,broken clouds
