City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Longyearbyen,SJ,2021-10-10 00:07:48,78.2186,15.6401,19.24,79,0,6.91
240,Mandalgovi,MN,2021-10-10 00:11:53,45.7625,106.2708,28.83,63,0,8.7
241,Airai,TL,2021-10-10 00:11:54,-8.9266,125.4092,74.43,27,98,2.66
242,Ahipara,NZ,2021-10-10 00:11:54,-35.1667,173.1667,60.08,64,99,11.45
243,Fortuna,US,2021-10-10 00:11:55,40.5982,-124.1573,70.48,55,3,4.0
244,Matai,TZ,2021-10-10 00:11:55,-8.3,31.5167,65.14,36,84,5.77
245,Hilo,US,2021-10-10 00:11:56,19.7297,-155.09,79.29,83,90,5.75
246,Saskylakh,RU,2021-10-10 00:11:56,71.9167,114.0833,16.3,95,100,1.74
247,Keti Bandar,PK,2021-10-10 00:11:57,24.1447,67.4497,79.41,77,0,11.16
248,Namatanai,PG,2021-10-10 00:11:57,-3.6667,152.4333,84.24,69,66,7.02
249,Bani Walid,LY,2021-10-10 00:11:57,31.7566,13.9942,67.06,79,84,8.19
250,Darnah,LY,2021-10-10 00:11:58,32.767,22.6367,72.59,77,0,3.98
251,Zakamensk,RU,2021-10-10 00:11:58,50.3741,103.2863,28.27,69,1,3.04
252,Paciran,ID,2021-10-10 00:11:58,-6.8767,112.3761,80.94,71,70,8.23
253,Kawalu,ID,2021-10-10 00:11:59,-7.3817,108.2082,74.23,90,86,1.97
254,Zapolyarnyy,RU,2021-10-10 00:11:59,69.4154,30.8136,36.68,98,100,7.02
255,Bara,NG,2021-10-10 00:11:59,10.3744,10.7288,76.14,73,99,3.74
256,Campi Bisenzio,IT,2021-10-10 00:12:00,43.8246,11.1324,57.16,62,20,12.66
257,Sechura,PE,2021-10-10 00:12:00,-5.5569,-80.8222,67.37,77,59,16.46
258,Strezhevoy,RU,2021-10-10 00:12:01,60.7333,77.5889,31.98,81,65,9.57
259,Tautira,PF,2021-10-10 00:09:23,-17.7333,-149.15,84.22,69,24,3.44
260,Santo Antonio Do Leverger,BR,2021-10-10 00:12:02,-15.8656,-56.0767,90.61,39,94,5.3
261,Nemuro,JP,2021-10-10 00:12:02,43.3236,145.575,55.83,83,53,23.69
262,Nedjo,ET,2021-10-10 00:12:03,9.5046,35.5019,58.26,99,100,0.6
263,Csakvar,HU,2021-10-10 00:12:03,47.3918,18.465,48.54,54,58,3.13
264,Tuatapere,NZ,2021-10-10 00:12:04,-46.1333,167.6833,64.81,51,65,4.16
265,Kruisfontein,ZA,2021-10-10 00:12:04,-34.0033,24.7314,54.88,78,4,8.43
266,Gat,IL,2021-10-10 00:12:05,31.61,34.7642,72.39,73,0,5.44
267,Nakhon Si Thammarat,TH,2021-10-10 00:12:05,8.25,100.0,82.2,86,100,6.53
268,Homer,US,2021-10-10 00:12:05,59.6425,-151.5483,48.09,76,75,9.22
269,Port Blair,IN,2021-10-10 00:12:06,11.6667,92.75,79.57,85,99,14.09
270,Loikaw,MM,2021-10-10 00:12:06,19.6742,97.2094,67.48,95,98,2.39
271,Kedrovyy,RU,2021-10-10 00:12:07,56.1667,91.8167,36.01,91,100,8.12
272,Severnyy,RU,2021-10-10 00:12:07,50.677,36.5532,35.64,69,0,6.71
273,Santa Rosa,PH,2021-10-10 00:07:41,14.3122,121.1114,84.11,80,95,6.17
274,Dingle,PH,2021-10-10 00:12:07,10.9995,122.6711,74.21,98,100,5.46
275,Lebu,CL,2021-10-10 00:12:08,-37.6167,-73.65,50.34,93,0,7.9
276,Bealanana,MG,2021-10-10 00:12:08,-14.55,48.7333,56.62,86,68,4.61
277,Tombouctou,ML,2021-10-10 00:12:09,20.0,-3.0,86.9,10,100,7.96
278,Kongolo,CD,2021-10-10 00:12:09,-5.3833,27.0,73.65,80,100,3.96
279,Omsukchan,RU,2021-10-10 00:12:09,62.5333,155.8,20.08,79,46,2.86
280,Hobyo,SO,2021-10-10 00:12:10,5.3505,48.5268,78.19,86,33,12.71
281,Mareeba,AU,2021-10-10 00:12:10,-17.0,145.4333,83.48,57,80,8.63
282,Port-Gentil,GA,2021-10-10 00:09:18,-0.7193,8.7815,77.68,89,100,13.98
283,Fenoarivo Atsinanana,MG,2021-10-10 00:12:11,-17.3667,49.4167,66.43,88,44,5.93
284,Zyryanka,RU,2021-10-10 00:12:11,65.75,150.85,25.07,60,11,13.06
285,Ambanja,MG,2021-10-10 00:10:13,-13.6833,48.45,72.05,89,89,1.68
286,Rio Grande,BR,2021-10-10 00:10:58,-32.035,-52.0986,61.95,77,100,17.94
287,Baruun-Urt,MN,2021-10-10 00:08:40,46.6806,113.2792,30.15,78,6,12.57
288,Arona,ES,2021-10-10 00:12:12,28.0996,-16.681,66.72,69,20,4.61
289,Baiyin,CN,2021-10-10 00:12:12,36.5583,104.2081,37.85,69,100,5.3
290,Ust-Kut,RU,2021-10-10 00:12:13,56.7938,105.7672,41.0,82,100,16.44
291,Verkhnevilyuysk,RU,2021-10-10 00:12:13,63.4453,120.3167,36.07,96,100,10.94
292,Hellvik,NO,2021-10-10 00:12:13,59.9156,5.781,56.28,90,100,13.0
293,Shimoda,JP,2021-10-10 00:07:22,34.6667,138.95,69.91,84,78,8.72
